table,migration_columns,model_files,model_fillable_union,model_casts_union,missing_in_model,extra_in_model,notes
paymen\1_\2s,,app\Models\Account/PaymentAllocation.php,allocation_date|amount_allocated|payment_id|purchase_bill_id,amount_allocated:decimal:4;allocation_date:date,,allocation_date|amount_allocated|payment_id|purchase_bill_id,NO_MIGRATION_FOUND
payment_allocations,allocation_date|amount_allocated|payment_id|purchase_bill_id,,,,allocation_date|amount_allocated|payment_id|purchase_bill_id,,NO_MODEL_FOUND
payments,account_id|amount|approved_at|approved_by|created_by|date|journal_id|organization_id|reference|reference_id|reference_number|reference_type|reviewed_at|reviewed_by|supplier_id|updated_by,app\Models\Voucher/Payment.php,account_id|amount|approved_at|approved_by|created_by|date|organization_id|reference_id|reference_number|reference_type|reviewed_at|reviewed_by|supplier_id|updated_by,amount:decimal:4;date:date,journal_id|reference,,
personal_access_tokens,abilities|expires_at|last_used_at|name|token|tokenable|tokenable_id|tokenable_type,,,,abilities|expires_at|last_used_at|name|token|tokenable|tokenable_id|tokenable_type,,NO_MODEL_FOUND
po\1_\2s,,app\Models\Voucher/PosSession.php,branch_id|cash_actual_balance|cash_expected_balance|cash_opening_balance|cash_register_id|ended_at|organization_id|started_at|status|user_id,started_at:datetime;ended_at:datetime;cash_opening_balance:decimal:4;cash_actual_balance:decimal:4;cash_expected_balance:decimal:4,,branch_id|cash_actual_balance|cash_expected_balance|cash_opening_balance|cash_register_id|ended_at|organization_id|started_at|status|user_id,NO_MIGRATION_FOUND
pos_sessions,cash_register_id|ended_at|is_open|organization_id|started_at|user_id,,,,cash_register_id|ended_at|is_open|organization_id|started_at|user_id,,NO_MODEL_FOUND
pric\1_\2s,,app\Models\Inventory/PriceList.php,currency|ends_at|is_active|is_default|name|organization_id|priority|starts_at,,,currency|ends_at|is_active|is_default|name|organization_id|priority|starts_at,NO_MIGRATION_FOUND
pric\1_\\1_\2tems,,app\Models\Inventory/PriceListItem.php,price|price_list_id|product_variant_id,,,price|price_list_id|product_variant_id,NO_MIGRATION_FOUND
price_list_items,min_qantity|price|price_list_id|product_variant_id,,,,min_qantity|price|price_list_id|product_variant_id,,NO_MODEL_FOUND
price_lists,currency|ends_at|is_active|is_default|name|organization_id|priority|starts_at,,,,currency|ends_at|is_active|is_default|name|organization_id|priority|starts_at,,NO_MODEL_FOUND
produc\1_\2s,,app\Models\Inventory/ProductImage.php;app\Models\Inventory/ProductVariant.php;app\Models\Inventory/ProductVariation.php,barcode|cost_price|disk|imageable_id|imageable_type|is_active|is_primary|is_serial_tracked|path|product_id|sale_price|sku|sort_order|variation_id,is_primary:boolean;sort_order:integer;cost_price:decimal:6;sale_price:decimal:6;is_serial_tracked:boolean;is_active:boolean,,barcode|cost_price|disk|imageable_id|imageable_type|is_active|is_primary|is_serial_tracked|path|product_id|sale_price|sku|sort_order|variation_id,NO_MIGRATION_FOUND
product_images,disk|imageable|imageable_id|imageable_type|is_primary|path|sort_order,,,,disk|imageable|imageable_id|imageable_type|is_primary|path|sort_order,,NO_MODEL_FOUND
product_variant_discounts,discountable_id|discountable_type|end_date|is_active|organization_id|product_variant_id|start_date|type|value,,,,discountable_id|discountable_type|end_date|is_active|organization_id|product_variant_id|start_date|type|value,,NO_MODEL_FOUND
product_variant_prices,cost_price|organization_id|priceable|priceable_id|priceable_type|product_variant_id|sale_price,,,,cost_price|organization_id|priceable|priceable_id|priceable_type|product_variant_id|sale_price,,NO_MODEL_FOUND
product_variant_units,conversion_factor|is_active|is_base|is_purchase_unit|is_sale_unit|product_variant_id|unit_id,app\Models\Inventory/ProductVariantUnit.php,conversion_factor|is_active|is_base|is_purchase_unit|is_sale_unit|product_variant_id|unit_id,is_base:boolean;is_purchase_unit:boolean;is_sale_unit:boolean;is_active:boolean,,,
product_variant_variation_values,product_variant_id|variation_value_id,app\Models\Inventory/ProductVariantVariationValue.php,product_variant_id|variation_value_id,,,,
product_variants,barcode|cost_price|is_active|is_serial_tracked|product_id|sale_price|sku,,,,barcode|cost_price|is_active|is_serial_tracked|product_id|sale_price|sku,,NO_MODEL_FOUND
product_variations,product_id|variation_id,,,,product_id|variation_id,,NO_MODEL_FOUND
